fecha;stock;unidad;valor
2016-01-01;maiz;[ton];7090,36
2016-01-01;etanol;[m3];684,80728
2016-01-02;maiz;[ton];7007,86
2016-01-02;etanol;[m3];713,55
2016-01-03;maiz;[ton];6335,86
2016-01-03;etanol;[m3];741,36
2016-01-04;maiz;[ton];5711,36
2016-01-04;etanol;[m3];635,77
2016-01-05;maiz;[ton];5793,0
2016-01-05;etanol;[m3];599,63
2016-01-06;maiz;[ton];5486,78
2016-01-06;etanol;[m3];477,21
2016-01-07;maiz;[ton];5635,34
2016-01-07;etanol;[m3];327,37
2016-01-08;maiz;[ton];5902,38
2016-01-08;etanol;[m3];278,74
2016-01-09;maiz;[ton];6383,08
2016-01-09;etanol;[m3];209,71
2016-01-10;maiz;[ton];5803,08
2016-01-10;etanol;[m3];233,97
2016-01-11;maiz;[ton];5223,08
2016-01-11;etanol;[m3];407,58
2016-01-12;maiz;[ton];5422,8
2016-01-12;etanol;[m3];335,23
2016-01-13;maiz;[ton];5619,96
2016-01-13;etanol;[m3];191,56
2016-01-14;maiz;[ton];5780,0
2016-01-14;etanol;[m3];195,32999999999998
2016-01-15;maiz;[ton];6330,4
2016-01-15;etanol;[m3];208,92
2016-01-16;maiz;[ton];5667,13
2016-01-16;etanol;[m3];190,17
2016-01-17;maiz;[ton];5003,79
2016-01-17;etanol;[m3];198,52
2016-01-18;maiz;[ton];4749,58
2016-01-18;etanol;[m3];281,75
2016-01-19;maiz;[ton];5451,88
2016-01-19;etanol;[m3];326,35
2016-01-20;maiz;[ton];6037,26
2016-01-20;etanol;[m3];368,12
2016-01-21;maiz;[ton];6675,52
2016-01-21;etanol;[m3];425,41
2016-01-22;maiz;[ton];7417,52
2016-01-22;etanol;[m3];366,31
2016-01-23;maiz;[ton];6807,34
2016-01-23;etanol;[m3];363,43
2016-01-24;maiz;[ton];6197,16
2016-01-24;etanol;[m3];298,41
2016-01-25;maiz;[ton];6797,0
2016-01-25;etanol;[m3];346,87
2016-01-26;maiz;[ton];7508,36
2016-01-26;etanol;[m3];306,24
2016-01-27;maiz;[ton];7954,4
2016-01-27;etanol;[m3];304,93
2016-01-28;maiz;[ton];8690,52
2016-01-28;etanol;[m3];270,85
2016-01-29;maiz;[ton];9390,52
